				
id	name	gold	dps	res
03000000	炽天使—撒拉弗	50	4	hire00
03000001	混世妖王—六耳猕猴	175	16	hire01
03000002	人类最强士兵—莱昂	674	56	hire02
03000003	舰载萝莉—艾尔莎	2850	207	hire03
03000004	神灯魔人-扎贡	13300	807	hire04
03000005	蔷薇妖姬—泰坦尼亚	68100	3290	hire05
03000006	黑魔导师—玛哈特	384000	14140	hire06
03000007	谜之路人—霄	2380000	63640	hire07
03000008	时之魔导师—席巴	23800000	440110	hire08
03000009	薄幸女灵—奈落	143000000	1730000	hire09
0300000A	海军上校—罗宾逊	943000000	7150000	hire10
0300000B	汉尼拔—无良	6840000000	30650000	hire11
0300000C	阴阳师—安倍沙耶	54700000000	136870000	hire12
0300000D	死线之粉—影心	8.2E+11	1080000000	hire13
0300000E	人型天使—白老师	8.2E+12	53500000000	hire14
0300000F	无面法师	1.64E+14	5.4707E+11	hire15
				
				
				
				
				
				
				
				
